Is reference?,Flow,Category,Amount,Unit,Costs/Revenues,Currency,Uncertainty,(G)Mean | Mode,SD | GSD,Minimum,Maximum,Is avoided?,Provider,Data quality entry,Location,Description,Source_File,Contribution Category
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",1.034029,kg,,,log-normal,5.09,1.31733,,,,"market for water, deionised | water, deionised | Cutoff, U",(3; 5; 4; 3; 1),Rest-of-World,Water for electricity generation,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",8.999185,kg,,,log-normal,5.09,1.3173282737856964,,,,"market for water, deionised | water, deionised | Cutoff, U",(3;5;4;3;1),Rest-of-World,Deionised water is used as feed water for steam generation.,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",100.269474,kg,,,log-normal,5.09,1.31733,,,,"market for water, deionised | water, deionised | Cutoff, U",(3; 5; 4; 3; 1),Rest-of-World,CO2 Cooling Water In,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,zinc oxide,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",1e-05,kg,,,log-normal,0.000336,1.3173282737856964,,,,"market for zinc oxide | zinc oxide | Cutoff, U",(3;5;4;3;1),Global,"Copper-Zinc-Alumina 
(Cu/Zn/Al : 40/45/15 wt%)
In the water gas shift reactor; 3.80 metric-tonne replenished every 3 years: compositiopn (%mass): 40% copper oxide, 45% zinc oxide; 15% alumina oxide. Based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification)",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,zinc oxide,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",1e-06,kg,,,log-normal,2.35e-05,1.3173282737856964,,,,"market for zinc oxide | zinc oxide | Cutoff, U",(3;5;4;3;1),Global,"A zinc-oxide sulfur-guard bed was used to remove 98% of the sulfur in the feed, resulting in a maximum sulfur content of 0.1 ppm post-sulfur guard bed. Replenished every 3 years.",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"electricity, high voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",1.84839,kWh,,,,,,,,x,,,,Excess electricity used to replace Canadian average grid electricity,hydrogen_wood_biomass_gasification_without_carbon_,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",9.054326,kg,,,log-normal,5.09,1.31733,,,,"market for water, deionised | water, deionised | Cutoff, U",(3; 5; 4; 3; 1),Rest-of-World,Steam injection to WGSR,hydrogen_wood_biomass_gasification_without_carbon_,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",12.072435,kg,,,log-normal,5.09,1.3173282737856964,,,,"market for water, deionised | water, deionised | Cutoff, U",(3;5;4;3;1),Rest-of-World,Steam injection to Gasifier,hydrogen_wood_biomass_gasification_without_carbon_,
,"wood chips, wet, measured as dry mass","A:Agriculture, forestry and fishing/02:Forestry and logging/022:Logging/0220:Logging",15.090664,kg,,,log-normal,22.192153,1.3173282737856964,,,,"market for wood chips, wet, measured as dry mass | wood chips, wet, measured as dry mass | Cutoff, U",(3;5;4;3;1),"Canada, Québec",,hydrogen_wood_biomass_gasification_without_carbon_,
,"electricity, high voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",0.319717,kWh,,,,,,,,x,,,,Excess electricity used to replace Canadian average grid electricity,hydrogen_wood_biomass_gasification_with_carbon_cap,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",7.661705,kWh,,,,,,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,"Canada, British Columbia",Consumption of BoP (including compression),hydrogen_wood_biomass_gasification_with_carbon_cap,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",1.137471,kg,,,,,,,,,"market for water, deionised | water, deionised | Cutoff, U",(3; 5; 4; 3; 1),Rest-of-World,Steam injection to WGSR,hydrogen_wood_biomass_gasification_with_carbon_cap,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",6.166536,kg,,,,,,,,,"market for water, deionised | water, deionised | Cutoff, U",(3;5;4;3;1),Rest-of-World,Steam injection to Gasifier,hydrogen_wood_biomass_gasification_with_carbon_cap,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",1.042419,kg,,,,,,,,,"market for water, deionised | water, deionised | Cutoff, U",,Rest-of-World,Water/MDEA (makeup),hydrogen_wood_biomass_gasification_with_carbon_cap,
,"wood chips, wet, measured as dry mass","A:Agriculture, forestry and fishing/02:Forestry and logging/022:Logging/0220:Logging",17.328358,kg,,,,,,,,,"market for wood chips, wet, measured as dry mass | wood chips, wet, measured as dry mass | Cutoff, U",(3;5;4;3;1),"Canada, Québec",,hydrogen_wood_biomass_gasification_with_carbon_cap,
